coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Jun 02 09:26:47 +0000 2021,,,,0,1400021062318964736,,,,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@KsawierSkorpion @trzaskowski_ @SKM_Warszawa @warszawa @WTP_Warszawa Rok będą montować całe wnętrze nie tylko WIFI oraz będą próby torowe*,https://twitter.com/C3NTRUM/status/1400021062318964736,Fri Dec 07 22:38:08 +0000 2018,1071172030547066881,false,,7041,178,410,3,Warszawa,Center,C3NTRUM,19994,,,false
,Wed Jun 02 08:47:46 +0000 2021,Wypadek S8 Warszawa utrudnienia mazowieckie,,,0,1400011243369517061,,,,pl,,,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",#Wypadek na #S8 w #Warszawa w Al. Armii Krajowej przed węzłem Marymoncka. Występują duże #utrudnienia w ruchu w kierunku Marek. #mazowieckie,https://twitter.com/NaviExpert/status/1400011243369517061,Thu Feb 25 08:13:28 +0000 2010,117343071,false,"Najświeższe informacje z polskich dróg od NaviExpert, producenta nawigacji online na smartfony i tablety.",1184,4893,5,57,Poznań,NaviExpert,NaviExpert,85947,,http://www.naviexpert.pl,false
,Wed Jun 02 09:25:47 +0000 2021,Warszawa podkast,https://twitter.com/radiokampus/status/1400020814498615296/photo/1,https://stacja-warszawa.pinecast.co/episode/d3606326/zwierz-ta-mieszka-cy-warszawy,1,1400020814498615296,,,,pl,,false,,0,,,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","Nowy odcinek podkastu ""Stacja #Warszawa""! Zwierzęta - mieszkańcy Warszawy https://t.co/ArF2Ibmzpz #podkast warszawa https://t.co/LiB5egQocY",https://twitter.com/radiokampus/status/1400020814498615296,Wed Jun 17 12:10:57 +0000 2009,47939704,false,"Same sztosy! 📻 #Warszawa i okolice - 97,1 FM i https://t.co/V3IDUakInJ #hiphop #alternative #rock #dnb #funk #house #muzyka",1478,4788,2248,117,"Warsaw, Poland","Radio Kampus 97,1 FM",radiokampus,31309,,http://www.radiokampus.fm,false
,Wed Jun 02 09:08:59 +0000 2021,,,http://dlvr.it/S0vSLH,0,1400016585184755713,,,,pl,,false,,6,1400016353164099590,OnetWiadomosci,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Policja udostępnia zdjęcie mężczyzny, który mógł okraść 92-letniego powstańca https://t.co/kJeHOEweNt https://t.co/j86tTTCvCT",https://twitter.com/darmatel1/status/1400016585184755713,Tue Dec 29 07:38:37 +0000 2015,4640757567,false,Państwowiec. Wróg partyjniactwa. Inżynier. Ban za chamstwo,46855,615,537,13,"Kraków, Polska",Dariusz Matelowski,darmatel1,74757,,,false
,Wed Jun 02 09:25:00 +0000 2021,,,,0,1400020613482303490,trzaskowski_,1400005093156691970,370112160,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@trzaskowski_ @SKM_Warszawa @warszawa @WTP_Warszawa Składy z Niemiec?,https://twitter.com/Leszek55321865/status/1400020613482303490,Thu Nov 28 13:27:58 +0000 2019,1200043614195326976,false,"Tradycyjny Janusz z północnego Mazowsza! Polak i patriota, spadkobierca mazowieckiej gołoty szlacheckiej. Idiotów powtarzających kłamstwa banuję bez ostrzeżenia",163567,4390,3492,29,Ciechanów,ZNUżony 🇵🇱 #KotwicaHistorii,Leszek55321865,91116,,,false
,Wed Jun 02 08:50:46 +0000 2021,,,https://www.nakolei.pl/pociagiem-do-zakopanego-od-26-czerwca-10-nowych-przystankow-na-mapie/,1,1400011999828922376,,,,pl,,false,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Od 26 czerwca wracają pociągi do Zakopanego. Od 28 czerwca zaplanowano bezpośrednie połączenia miedzy Radomiem a Warszawą. 10 nowych przystanków zwiększy dostęp do kolei.

https://t.co/Y9PVXI9YHa",https://twitter.com/naKolei/status/1400011999828922376,Wed Mar 28 13:31:58 +0000 2012,539045512,false,https://t.co/dVoOaj6gHJ - Kolejowy portal dla profesjonalistów. Piszemy dla Was od 2011 r.,572,3453,544,34,,NaKolei.pl,naKolei,8426,,http://nakolei.pl,false
,Wed Jun 02 09:17:24 +0000 2021,,,https://warszawa.tvp.pl/54135352/wojewodzki-konserwator-zabytkow-przeprowadza-kontrole-na-moscie-poniatowskiego,1,1400018701370417153,,,,pl,,false,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Wojewódzki konserwator zabytków prowadzi kontrolę na moście Poniatowskiego. Chodzi nie tylko o fotoradary 👉
https://t.co/iCQCLPQ03B",https://twitter.com/TVP3Warszawa/status/1400018701370417153,Thu Jul 14 13:24:48 +0000 2016,753581007354331137,false,"@TVP3Warszawa to największa regionalna stacja telewizyjna w Polsce, jesteśmy dla Was i blisko Was; wydarzenia, kultura, sport, rozrywka",2758,2709,403,27,"Warsaw, Poland",TVP3 Warszawa,TVP3Warszawa,13817,,https://warszawa.tvp.pl,false
,Wed Jun 02 09:31:55 +0000 2021,,,https://alleopole.pl/ogloszenie/34360/firma-sprzatajaca-warszawa,0,1400022354911236096,,,,pl,,false,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Firma sprzątająca Warszawa - Darmowe Ogloszenia https://t.co/qQp97PHMdX,https://twitter.com/AlleOpole/status/1400022354911236096,Wed Jan 18 14:10:19 +0000 2012,467465962,false,Darmowe ogłoszenia Opole AlleOpole.pl,92,642,2416,4,Polska,AlleOpole,AlleOpole,21335,,http://www.alleopole.pl/,false
,Wed Jun 02 08:28:33 +0000 2021,,,,0,1400006409006297088,,,,pl,,,,54,1400005093156691970,trzaskowski_,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pierwszy z 21 nowych pociągów @SKM_Warszawa już w docelowych barwach!🙂 Kolejny etap to montaż wyposażenia oraz dodatkowych elementów, jak Wi-Fi, ładowarki USB, automaty biletowe czy ratujące życie defibrylatory AED. Pierwsze nowe pociągi trafią do @warszawa już wiosną 2022 r. https://t.co/7NYFzsXjGh",https://twitter.com/olejnik_lukasz1/status/1400006409006297088,Fri Aug 24 09:43:29 +0000 2018,1032926357007855618,false,"@Platforma_org, PO Warszawa, Projektuję aplikacje",76560,6431,1142,24,Warszawa,Łukasz Olejnik,olejnik_lukasz1,116184,,,false
,Wed Jun 02 08:31:44 +0000 2021,Warszawa,,,0,1400007210604929024,,,,pl,,,,7,1400000320604884995,pisorgpl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Minister @MZ_GOV_PL @a_niedzielski w #Warszawa: Kolejny obszar luzowania to środki transportu, tutaj będzie obowiązywać 75% obłożenia, oczywiście z obowiązkiem zakrywania ust i nosa.",https://twitter.com/darekmarcin1/status/1400007210604929024,Mon Jan 30 18:14:40 +0000 2017,826131532217798658,false,"Dariusz- Polska
Konserwatyzm",169434,3390,2463,3,"Sanok, Polska",Dariusz -Polska 🇵🇱🇺🇸🇰🇷,darekmarcin1,309887,,,false
,Wed Jun 02 08:38:54 +0000 2021,,,,0,1400009013769744387,xFish_,1400008650505265155,3944861301,pl,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@xFish_ @warszawa osoba majaca zamiar wejsc na przejscie to ta ktora czeka przy przejsciu, przeciez ci powiedzialam",https://twitter.com/knaveryact/status/1400009013769744387,Thu Dec 29 18:54:17 +0000 2011,449990706,false,you can’t take emo out of a kid // she/her,14326,143,241,1,"Warsaw, Poland",MJ,knaveryact,32406,,,false
,Wed Jun 02 08:42:00 +0000 2021,,,,0,1400009795009224705,knaveryact,1400009013769744387,449990706,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@knaveryact @warszawa Odpowiedz mi kim jest osoba wchodząca.,https://twitter.com/xFish_/status/1400009795009224705,Tue Oct 13 08:39:28 +0000 2015,3944861301,false,🇵🇱Lubię politykę/ Kibicuję prawej stronie Agnostyk/Kibic WZL 🇨🇮/🇬🇧UK was my home for 10yrs & will always be in my ♥/Identify as '10'/Pronouns:Master/Hot🤪,23599,439,223,6,Poland,𝑻𝑶𝑴 💎 ⚽⚒️🇨🇮,xFish_,29281,,,false
,Wed Jun 02 08:36:19 +0000 2021,,,,0,1400008362973093891,,,,pl,,,,54,1400005093156691970,trzaskowski_,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Pierwszy z 21 nowych pociągów @SKM_Warszawa już w docelowych barwach!🙂 Kolejny etap to montaż wyposażenia oraz dodatkowych elementów, jak Wi-Fi, ładowarki USB, automaty biletowe czy ratujące życie defibrylatory AED. Pierwsze nowe pociągi trafią do @warszawa już wiosną 2022 r. https://t.co/7NYFzsXjGh",https://twitter.com/SKM_Warszawa/status/1400008362973093891,Fri Mar 06 08:13:37 +0000 2020,1235840861323145216,false,Informacje Biura Komunikacji Szybkiej Kolei Miejskiej w Warszawie. RT nie oznacza poparcia.,5434,1129,201,16,Warszawa,SKM_Warszawa,SKM_Warszawa,11969,,http://www.skm.warszawa.pl/,false
,Wed Jun 02 08:43:33 +0000 2021,,,,0,1400010184295071744,,,,pl,,,1399786626612609030,175,1399839600168902657,PatrykJaki,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Czyli prezydenci opozycji: 
👉Poznań -cieszy się z okresu okupacji Polski  
👉Warszawa -wprost finansowany z niemieckich fundacji, po co lotnisko w Polsce jak jest w Berlinie 
👉Gdańsk -II wojna zaczęła się od „złego słowa Polaków” 
Analfabeci historyczni i lojalność zewnętrzna https://t.co/pJor6dt2Tn",https://twitter.com/AnnaDugosz1/status/1400010184295071744,Mon Aug 01 16:38:59 +0000 2011,346656717,false,,237219,4090,3107,18,"Kraków, Polska",Anna Długosz,AnnaDugosz1,156517,,,false
,Wed Jun 02 08:37:48 +0000 2021,KPRM Warszawa,,,0,1400008736912121860,,,,pl,,,,12,1400005063993614339,pisorgpl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Minister w #KPRM @michaldworczyk w #Warszawa: W Polsce od 2006 roku działa program Konstantego Kalinowskiego, w ramach tego programu ponad 1700 studentów z Białorusi oraz pracowników naukowych otrzymało wsparcie.",https://twitter.com/a_milczanowska/status/1400008736912121860,Thu Mar 24 17:03:00 +0000 2016,713048482622341120,false,"Żona, Mama, Babcia, Poseł na Sejm RP, Prawo i Sprawiedliwość",86588,6064,1306,37,"Radomsko, Polska",Anna Milczanowska 🇵🇱,a_milczanowska,72366,,,true
,Wed Jun 02 08:36:15 +0000 2021,,,,0,1400008347852619781,,,,pl,,,,11,1399999231386001408,warszawa,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Uwaga jedzie tramwaj❗ W związku z nowymi przepisami piesi wchodzący na pasy mają pierwszeństwo przed każdym pojazdem z wyjątkiem tramwaju. 🚋 By o tym nie zapominać Tramwaje Warszawskie zajęły się dodatkowym znakowaniem przejść dla pieszych. 🚦 https://t.co/hHOqYqizxY,https://twitter.com/SKM_Warszawa/status/1400008347852619781,Fri Mar 06 08:13:37 +0000 2020,1235840861323145216,false,Informacje Biura Komunikacji Szybkiej Kolei Miejskiej w Warszawie. RT nie oznacza poparcia.,5434,1129,201,16,Warszawa,SKM_Warszawa,SKM_Warszawa,11969,,http://www.skm.warszawa.pl/,false
,Wed Jun 02 08:45:25 +0000 2021,,,https://twitter.com/LegiaNet/status/1400009921052168194,7,1400010655160279042,,,,pl,,false,1400009921052168194,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Już za pięć dni piłkarze Legii Warszawa rozpoczną przygotowania do nowego sezonu. 
To oznacza że jest obecnie więcej pilnych wzmocnień do zrobienia (zależy jak patrzeć, 6-8) niż dni do startu przygotowań. https://t.co/Ja2GstUwxU",https://twitter.com/Vlad_CS/status/1400010655160279042,Tue Jul 30 16:53:36 +0000 2013,1633354868,false,"Uparciuch. Niepostępowa konserwa. Legia Warszawa. Ⓛ

Uważam że z nielicznymi wyjątkami Polacy nie potrafią grać w piłkę.",14335,3435,1021,18,"Warszawa, Polska",VladCS,Vlad_CS,132416,,,false
,Wed Jun 02 08:27:03 +0000 2021,KPRM Warszawa,,,0,1400006033045659648,,,,pl,,,,12,1400005063993614339,pisorgpl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Minister w #KPRM @michaldworczyk w #Warszawa: W Polsce od 2006 roku działa program Konstantego Kalinowskiego, w ramach tego programu ponad 1700 studentów z Białorusi oraz pracowników naukowych otrzymało wsparcie.",https://twitter.com/Politmania/status/1400006033045659648,Tue Mar 22 21:44:04 +0000 2016,712394436077035520,false,"Konserwatyzm, rolnictwo",607671,1293,3717,5,Polska,Politmania 🇵🇱,Politmania,326985,,,false
,Wed Jun 02 08:44:12 +0000 2021,,,,0,1400010348510560259,,,,pl,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@hejkatuala warszawa,https://twitter.com/czesctuhania/status/1400010348510560259,Wed Nov 11 16:21:04 +0000 2020,1326560550474686466,false,# louis : i didn’t have to search cause i still know your number . . . she!¡he 📚12/60,71083,3280,3864,6,no stunts|♎︎♏︎♊︎,hania will see lou and harry||fan account,czesctuhania,46460,,,false
,Wed Jun 02 08:36:44 +0000 2021,,,,0,1400008467818102784,,,,pl,,,,4,1399795381391798272,FundacjaKurtyki,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","📸 Warszawa, 1949 r. i współcześnie
Rzeźba stoi przed Kościołem Matki Boskiej Łaskawej na Starym Mieście. Do 1944 towarzyszył mu lew.

Legenda głosi, że niedźwiedź to zaklęty książę. Czeka na kobietę, której miłość skruszy głaz i przywróci mu człowiecze kształty... https://t.co/MUXkMA5tp2",https://twitter.com/ChaberYlva/status/1400008467818102784,Fri Jan 13 23:30:11 +0000 2017,820050337574875136,false,"""...te kwiaty Chabru, te k'sobie pochylone...""  ""Gdziekolwiek człowiek stoi, o wielokroć więcej niebios ogląda, niżeli ziemi..."" (C. Norwid)🇵🇱💯",284118,2112,4980,2,Polska,Pani Chaber Ylva 💯,ChaberYlva,87390,,,false
,Wed Jun 02 08:34:07 +0000 2021,,,,2,1400007810419671040,Gustaw_Cykorz,1400005618564485127,1263360387954638800,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@Gustaw_Cykorz @trzaskowski_ @SKM_Warszawa @warszawa @WTP_Warszawa U was za to zarządy i rady nadzorcze rozrośnięte, a do pilnowania tylko łąka",https://twitter.com/JAREKmecenas/status/1400007810419671040,Wed May 13 09:41:34 +0000 2020,1260505402971742210,false,"Socjalizm, mówi to Panu coś?",1930,93,73,6,,Tow. Jasiński,JAREKmecenas,15651,,,false
,Wed Jun 02 08:23:19 +0000 2021,,https://twitter.com/trzaskowski_/status/1400005093156691970/photo/1,,553,1400005093156691970,,,,pl,,false,,54,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pierwszy z 21 nowych pociągów @SKM_Warszawa już w docelowych barwach!🙂 Kolejny etap to montaż wyposażenia oraz dodatkowych elementów, jak Wi-Fi, ładowarki USB, automaty biletowe czy ratujące życie defibrylatory AED. Pierwsze nowe pociągi trafią do @warszawa już wiosną 2022 r. https://t.co/7NYFzsXjGh",https://twitter.com/trzaskowski_/status/1400005093156691970,Thu Sep 08 13:48:38 +0000 2011,370112160,false,Prezydent @warszawa. Mayor of Warsaw.,577,770451,705,800,Warszawa,Rafał Trzaskowski,trzaskowski_,10304,,,true
,Wed Jun 02 08:38:26 +0000 2021,Wypadek S7 Warszawa NowyDwórMazowiecki utrudnienia mazowieckie,,,0,1400008898472517634,,,,pl,,,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",#Wypadek na #S7 na trasie #Warszawa - #NowyDwórMazowiecki w m. Czosnów. Możliwe #utrudnienia w ruchu. #mazowieckie,https://twitter.com/NaviExpert/status/1400008898472517634,Thu Feb 25 08:13:28 +0000 2010,117343071,false,"Najświeższe informacje z polskich dróg od NaviExpert, producenta nawigacji online na smartfony i tablety.",1184,4893,5,57,Poznań,NaviExpert,NaviExpert,85947,,http://www.naviexpert.pl,false
,Wed Jun 02 08:42:59 +0000 2021,,,,0,1400010042661871622,,,,pl,,,,3,1399987908510105609,SKM_Warszawa,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ℹ️ Podczas czerwcowego długiego weekendu nastąpią zmiany w kursowaniu niektórych linii Warszawskiego Transportu Publicznego, w tym również pociągów #SKM.

Szczegóły: https://t.co/aIVSOlVWAa https://t.co/pSR3jRCAFn",https://twitter.com/AKTYWNAWARSZAWA/status/1400010042661871622,Wed Mar 27 09:03:08 +0000 2013,1306967120,false,"Oficjalny profil Stołecznego Centrum Sportu AKTYWNA WARSZAWA. 
Organizujemy biegi, turnieje, dbamy o najmłodszych. Sprawdź, co dla Ciebie mamy, odwiedź Ośrodki.",3544,1456,215,11,"Warszawa, Polska",AKTYWNA WARSZAWA,AKTYWNAWARSZAWA,3804,,http://www.aktywnawarszawa.pl,false
,Wed Jun 02 08:40:20 +0000 2021,,,,0,1400009375381610497,trzaskowski_,1400005093156691970,370112160,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@trzaskowski_ @SKM_Warszawa @warszawa @WTP_Warszawa Już to widzę,he he he.",https://twitter.com/Pawe59428756/status/1400009375381610497,Sat Jan 30 17:27:23 +0000 2021,1355568227707969536,true,,682,3,48,1,,Paweł,Pawe59428756,995,,,false
